First Name,Last Name,Email,Language,Status,User Designation,Is Adminstrator,Project,Access Type,Locale,Timezone,Expected
,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
"Lorem ipsum dolor sit amet consectetur adipisicing elit. Necessitatibus a tenetur soluta neque optio. Ducimus, reprehenderit expedita temporibus reiciendis sit in itaque similique perferendis ut, ipsum ipsam quia quidem quisquam possimus? Esse quibusdam quis nihil omnis voluptatum quae consequuntur asperiores dolorum qui reiciendis? Saepe, eum! Incidunt non, modi fugit praesentium iste adipisci nam fuga reiciendis, architecto explicabo libero doloribus dicta ipsum, soluta sed molestiae. Placeat voluptates recusandae quod. Quos eos sunt ab odio, rem aspernatur, amet repellat, rerum numquam possimus sequi ipsa! Itaque ut totam soluta cum amet optio, voluptatum tempora libero nobis repellat cumque! Fugit consequuntur assumenda ratione, commodi, nobis labore porro repellendus quae non, suscipit praesentium? Quaerat ratione, libero eius officiis perferendis nisi. Nobis, necessitatibus. Sunt recusandae molestias dolores nam quis illum quaerat, voluptates odio obcaecati doloremque ducimus accusantium, perspiciatis unde quibusdam exercitationem delectus. Quos, vero! Dicta autem ex praesentium dolorem temporibus repudiandae fugiat ratione quaerat illum vero officiis, soluta recusandae ipsa provident accusantium ducimus, inventore totam perspiciatis facilis corporis. Ducimus nesciunt est veniam accusantium ipsum, unde non dolor et, ipsam voluptatum, dolores molestias. Assumenda ipsam ullam officia, sunt rem earum iure recusandae consequatur soluta consequuntur et dolor ea sit nemo sequi laboriosam atque eum? Blanditiis, cum cupiditate similique laborum explicabo dolorem, eveniet aut animi natus, velit facere accusamus aliquid minima officiis fugit debitis commodi distinctio. Et eius iure doloribus doloremque molestias quasi dicta accusantium natus cum nisi ab adipisci, obcaecati maiores ipsa esse corrupti inventore illo maxime repudiandae perspiciatis sunt eaque. Laborum placeat, assumenda at et commodi delectus magnam voluptas sed nam illo.",Truong,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,,minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Necessitatibus a tenetur soluta neque optio. Ducimus, reprehenderit expedita temporibus reiciendis sit in itaque similique perferendis ut, ipsum ipsam quia quidem quisquam possimus? Esse quibusdam quis nihil omnis voluptatum quae consequuntur asperiores dolorum qui reiciendis? Saepe, eum! Incidunt non, modi fugit praesentium iste adipisci nam fuga reiciendis, architecto explicabo libero doloribus dicta ipsum, soluta sed molestiae. Placeat voluptates recusandae quod. Quos eos sunt ab odio, rem aspernatur, amet repellat, rerum numquam possimus sequi ipsa! Itaque ut totam soluta cum amet optio, voluptatum tempora libero nobis repellat cumque! Fugit consequuntur assumenda ratione, commodi, nobis labore porro repellendus quae non, suscipit praesentium? Quaerat ratione, libero eius officiis perferendis nisi. Nobis, necessitatibus. Sunt recusandae molestias dolores nam quis illum quaerat, voluptates odio obcaecati doloremque ducimus accusantium, perspiciatis unde quibusdam exercitationem delectus. Quos, vero! Dicta autem ex praesentium dolorem temporibus repudiandae fugiat ratione quaerat illum vero officiis, soluta recusandae ipsa provident accusantium ducimus, inventore totam perspiciatis facilis corporis. Ducimus nesciunt est veniam accusantium ipsum, unde non dolor et, ipsam voluptatum, dolores molestias. Assumenda ipsam ullam officia, sunt rem earum iure recusandae consequatur soluta consequuntur et dolor ea sit nemo sequi laboriosam atque eum? Blanditiis, cum cupiditate similique laborum explicabo dolorem, eveniet aut animi natus, velit facere accusamus aliquid minima officiis fugit debitis commodi distinctio. Et eius iure doloribus doloremque molestias quasi dicta accusantium natus cum nisi ab adipisci, obcaecati maiores ipsa esse corrupti inventore illo maxime repudiandae perspiciatis sunt eaque. Laborum placeat, assumenda at et commodi delectus magnam voluptas sed nam illo.",minhphat1312@gmail.com,Vietnamese,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,,Vietnamese,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,minhphat,Vietnamese,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,minhphat1312@gmail.com,,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,English,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
Minh Phat,Truong,minhphat1312@gmail.com,Japanese,Active,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,Error
Minh Phat,Truong,minhphat1312@gmail.com,Vietnamese,,CTO,TRUE,[E],Developer,Vietnamese (Vietnam),(UTC-11:00) Midway Island,New user
